,text,labels,split
206,"NEWS <p/> Big pre-season campaign of PZS <p/> The Slovenian Mountaineering Association has prepared a big pre-season campaign for you, the visitors of the mountain world, which will last until 30 June 2012. Maps, mountaineering and climbing guides, specialist literature, fiction and other editions are available at very good prices. Editions are discounted from 20 to 50 percent. <p/> All our maps, such as Grintovci 1:25,000, Jalovec and Mangart 1:25,000, Krn, Lake Bohinj, Julian Alps, Dolenjska, Nanos, etc., are available at a special price in a big pre-season sale. , guidebooks (Bohinj, Kamniška Bistrica, Wonderful Alps...) and all climbing guides (Logarska dolina, Bohinjske stene, Vršič, Koroška... ), as well as the Planinski vestnik (single issue) and the annual subscription. In the specialist literature, which is not only for guides and mentors of mountaineering groups, you will find a wealth of knowledge that you will be able to use on your tours. For mountaineering enthusiasts of all abilities, these are also great gifts. And for beautiful summer evenings, you can already secure your dreams of the highest peaks in fiction books at very good prices until 30 June 2012, with a 20-50% discount - among them, following your own trail with mountaineer Tonet Škarja. <p/> For more information on editions and discounts, see: <p/> All editions/products can be purchased and ordered in a number of ways - a new feature is the toll-free number 080 18 93, which is available 24 hours a day, every day of the year. <p/> Opening hours of the PZS Mountain Publishing House, Dvorakova 9, Ljubljana, where you can visit us, buy the products you want and have a look at them when you buy them: - Monday from 9 am to 3 pm, - Wednesday from 9 am to 5 pm, - Thursday from 9 am to 3 pm, and - Friday from 9 am to 1 pm (snack break: 10.30-11.00).<p/> Opening hours of the PZS Mountain Publishing House, Dvorakova 9, Ljubljana. <p/> We wish you the best of luck on all your travels, and the Mountain Publishing House will make sure you have safer routes and directions with good deals! Welcome!",Promotion,train
212,"2 comments on "" Divination - Tricks Revealed "" <p/>I think that coincidences do not exist, but that everything we experience is the result of our thoughts (negative or positive) and actions and decisions in the past. So that we somehow draw all events to us to teach us something.",Forum,train
213,"After two Mondays in a row what I promised myself not to get out of my head happened, I had to load too much and too little into my phone, into the target and past it, especially for you, instead of having a good read of the 5200 characters of a meaningful and concise summary, this time, just in case, I am starting to write on Sunday, 30. January at 7:15 pm at the ICSMC Office while an all-day meeting of anarchists is going on in the hall, who have asked me not to publish their photos because violent Nazis are searching for their faces on the web. <p/> The Carnian Outlaws are still retreating from the Cultural Pool after ten years of occupying this monument to the ruined social system of socialism. Behind the latter, Šulc sheds no tears. In a decisive internal document, the municipality of Kranj, and the people with names and surnames in it, judged the Pool to be a building fit for demolition, and this made the job of Gross, the representative of the land-owners, much easier. For the last two years, the Municipality has been RENTING a building built by self-managed labour from a ""generous"" representative of the entitled descendants for a large sum of money. This temporary unhealthy state of affairs has ended, the four-day over-the-top festival ""Dost mamo"" with the subtitle ""Izbruh's Last Pogo in the Swimming Pool"" has been survived by Šulc et al, and the property of the Izbruh Association is being moved to a warehouse, which, with luck, has been borrowed by a comrade. Gregor Kosi of the Bakery and I agree to convene the first meeting of the Pohorje Battalion in Kranj near Brdo and there let ourselves be irradiated by the facts and impressions of the freshly abandoned self-contained scene. In ten years of cultural struggles, at many hundreds of events, no one was killed and no one was wounded. Gregor and I are determined to drive the wedge that the Bakery Industry drove into the bottom of the Pool at the ""Slovenian Cultural Pig"" a few years ago. <p/> Franjo Frančič visited the MKSMC on Monday, bringing three books for our library that are being discarded by public libraries for lack of interest: the first is Dr. Franjo Derganec's memoir ""The Bloody Rose"", the second is Lad Ambrožić Novljan's ""March of the Fourteenth"", and the third is ""Radio Liberation Front"" by Jože Javoršek. Franjo was happy to see a good direction by Katja Peganova for his text. He was returning from Trieste where the premiere took place. He was constantly talking and hitting the nail on the head, describing today's youth as the wormy foundation of the future. He is happy that his daughter listens to Edot Maajko and he went to buy her ""Spomen ploćo"" for her birthday. <p/> On Monday, when I was ""like a sick shit"" (claims my wife Arijana) getting ready to report for four years of soft terrorism and to complete my report to the Youth Office, the top brass of the Likej Association came by, with Tonči Kuzmanić, let's say, at the head. I was unpleasantly surprised because Tonči does not see the unravelling or complication of the current issue of the municipality of Ankara as clear proof that the right and the left are united, because it is about the interests of Capital or the Port of Koper. It seems quite obvious to me that the parliamentary parties are in no hurry to comply with the will of a few thousand citizens, never mind the millions of euros that the Port of Koper brings in. Tonči has been incomprehensibly reticent in his assessment of the matter. His first reaction was that he did not know enough about the matter. <p/> On Tuesday, I met with a lover of tidiness and efficient use of time and space, Simon Kardum, at the Kino Šiška. He was accompanied by his henchman Manček, who some time ago lectured me to be ashamed of myself for putting myself at the head of the Youth Field NGO Foundation at the age of sixty. There will be nothing of Brecljevanie in Šiška, but on 9 March this year, in the cathedral, which is by no means a public cultural trough, there will be a multimedia event ""Feu Marko Brecelj"" with a performance by a second-hand singer-songwriter, video projections and performances by DPZN. The subtitle of the event is ""For the second time, for the first time at Kino Šiška"". The first time I performed there with the Bulldozers was in 1975 at the Golden M. We did a performance called ""Day of Disease"" and we called it ""Ashes and Leukaemia"". <p/> On Wednesday, during the day, we sent out the Doganetta ""Judgement in the name of the people"", and in the evening, Franci Blašković presented an excellent CD ""Kobra je u brajdi"" at the Kabina Gallery, and one with which he is not satisfied: ""Ipak je lepiej travu pušiti nego Gori uši slušati"". On the night of Wednesday to Thursday I had no choice: I plunged myself into slow and mind-numbingly weak reporting for the aforementioned reputable institutions. I smoked French cigarettes exceptionally during this effort. The substantive report for the four-year soft terrorism programme may be of interest to some. It will be published at www.dodogovor.org. <p/> On Thursday morning the MKSMC came to do electrical measurements and came across a sleepless man from Klanec. I immediately called their boss and ""dropped"" Supervisor Vid and Supervisor Samuel on him at ten o'clock. These two young members of ours described and listed in detail the oversights and negligence of his unforgettable contractors, headed by the palm buyer Danjel. That afternoon Dr Vlasta Jalušić gave a lecture on ""History, Politics, Law / Rights: Hegel"" in the MKSMC hall but unfortunately I was unable to attend due to the unavoidable financial part of the report to the Youth Office. It was super fine, I was half out of my mind. And at the end, cinema! Vid spun us the US-Argentine 35 millimeter too crime flick ""Our Father"" (""Padre nuestro""). <p/> On Friday, when I was quite euphoric from nine hours of sleep, Arijana started to sweat and immediately gave me a dramatic ultimatum. The nine formerly thick white envelopes with slips of paper, receipts, lists and now and then even notes, which had been (briefly) waiting in the top left inside pocket of my jacket for eight months to three weeks to be counted and sorted out by me, had to go immediately on the table and into the sunlight and under the magnifying glass. Some of the receipts for the June Friendship Offensive were barely legible with a magnifying glass and a good deal of imagination, and one no longer had a speck of colour on it. At the time of writing, the contents of all the envelopes have been examined three times, the worn envelopes have been replaced with new ones, and things have been tidied up and sorted out in my pocket and in my head. The anarchists left two hours ago, the kitchen is left in order, Teja and Luka have cleaned the floor! Cha, cha, cha, cha. <p/> Vid has just embedded an audio recording of Friday's meeting with the initiative groups organising the concerts on the Dodogovor website archive (Sunday, 30 January 2011 at 23:20). It's not short and it's mostly me speaking. I had so much to say about our twenty years of fighting against the wind and the reasons for the decision to freeze the DPZN co-organisation in February and March. You are welcome to listen! It is better for you if you give it up. Only then don't bring out the insulting, yellow details of my truthful and righteous sub-pedagogical fabrications. We're already at six thousand seven hundred characters, the situation is alarming, my sturdy editor Boris Vasev is looking at his watch, and there's just this: on Saturday twenty of us watched a good Jarmusch's ""Coffee and Cigarettes"", Vid was baking popcorn, and Tomi suggested a hip hop concert by the uncontrolled in the last days of February. Who are the Uncontrolled? They are Slovenian citizens without controlled origins: mainly Bosnians, blacks, American women under Triglav. I have long been urging them to come to MKSMC to prepare something, which of course Breclj with his negative karma could not manage! But 23 year old semi-controlled Tommy, the president of the ""KAM"" association, managed to do it. When we are allowed to vote in Koper, he will stand as an independent candidate. Vote for him! Chao, bao!",Opinion/Argumentation,train
215,"Today, the Minister of Culture, Majda Širca, opened the exhibition Drawing in Slovenia II 1940-2009 at the Museum of Contemporary Art (MCA) in Zagreb, which presents the works of around 100 Slovenian artists. It is a selection of drawings from the exhibition of the same name, which was held last year at the City Gallery of Ljubljana. <p/> Drawing is one of the most daring, challenging and exciting genres within the field of art, because it confronts us with a very demanding and responsible gesture that we must not miss, a gesture that is unique and which, on the other hand, is often a matrix, a basis or a point of departure for other artistic practices, Širčeva said about the importance of drawings. These, she believes, have been lost, especially today, in the many postmodernist artistic genres. <p/> She stressed the importance of the exhibition for Slovenian art, as well as the outstanding cooperation with Croatia in the field of culture. The Croatian Minister of Culture, Bozo Biskupic, also pointed out at the opening that the Slovenian exhibition is a celebration of community and mutual understanding. He recalled that the three giants of Slovenian and European art - Zoran Mušić, Gabriel Stupica and Marij Pregelj - are a symbol of a common cultural centre, having studied at the Academy of Fine Arts in Zagreb. <p/> It is the drawings of this trio that open the exhibition, said its curator and art historian Aleksandar Bassin, who said that drawing has never been a trendy exclusive. The exhibition, he said, is arranged according to the artists' ages, not their works. After the three artists mentioned, the works of selected artists follow, from sculptors and printmakers to painters of the middle generation. <p/> In the last part of the exhibition, there are young people who were born in the 1970s or 1980s, and it is they who, according to Bassin, most express the future of drawing, which is consciously and unencumbered living its full artistic life. <p/> Until 21 September, drawings created in various artistic techniques will be on display, providing both a representative insight into Slovenian artistic drawing of the last 70 years and the continuity of drawing as an independent chapter of Slovenian fine art. <p/> The Zagreb exhibition is also accompanied by a comprehensive monograph with interpretative critical commentaries on each artist.",News/Reporting,train
218,"Happy hillbillies at the Philharmonic! <p/> 09 Apr 2012 <p/> There is a lot to learn from all history, including folk-music history. There is only one aspect to this: whether the musician has something to gain from the experience of others, or whether he or she has simply stood still all his or her life. A shining example of how wide one should spread one's wings is the Veseli Hribovci ensemble from Ljubljana. <p/> Veseli hribovci was active for twenty years, led by the academically trained musician Stane Žnuderl, who was usually also the author of the music and lyrics, and who always ensured a high level of performance for those times.The ensemble was extremely popular both in Slovenia and abroad (in the German-speaking area, of course, it was called Die lustigen Bergsteiger), and it also performed in the most important Slovene cultural centres, and it was always in search of the new, the different, the original. Although the Merry Hillmen appeared on the then Radio Ljubljana only in 1959, they had already played two years earlier, but without radio ambitions. The very origins of the ensemble are interesting. They performed the operetta Na planincah naszych (On Our Mountains) at the KUD Vič in Ljubljana, for which the libretto was written by Miha Kunaver and the Veseli hribovci leader Stane Žnuderl wrote the music. When I met him a few times, he always got very angry at such memories, because he could not understand that some radio and television editors, who get their salaries from RTV subscriptions, cannot or will not listen to their listeners. But he also got angry at the idea that there was nothing wrong with local music, it just needed to be brought up to the right level. It was the quality of the music that made the Merry Hills people one of the first to appear on the radio programme Thursday Evening of Local Songs and Hymns, as guests on the first television programmes and on many radio programmes in the field. Back then, it was also the case that the editors of other programmes tried to bring the most popular groups, especially folk-entertainment groups, to the field. Žnuderl was fond of telling anyone who disparaged local music: ""We also performed at the Slovenian Philharmonic, where we - probably one of the few, if not the only ones - played no less than seven polkas and waltzes. And live, in front of the TV cameras. I myself began by whistling the entire first movement of one of my compositions, which created a real enthusiasm among the audience. ""The Merry Mountaineers were among the first to follow the Avseniks across national borders, which were still very closed at that time. In Austria, Germany and Switzerland, they always sang in Slovene. On the other hand, they were so inventive that they performed the song dedicated to the town of Kindberg in both languages and gave the notes to the mayor of the town. Although at that time we were still seen by many as part of the underdeveloped Balkans, this approach convinced everyone and opened the way forward. It is no wonder that the Merry Hillmen recorded 78 songs for German-speaking audiences. And thanks to Žnuderl, they were always among those at home who were looking for a new expression. They were probably the first to add zithers to a quintet in one of their songs, Peter Ambrož, a member of the Slovenian Octet, sang with the Veseli hribovci, and they recorded a large vinyl album with the Stari Ljubljančani, legendary singers, including the Lumbar brothers, members of what were probably the most popular radio singers of the time, the Fantje na vasi (Boys in the Village). To put it another way: Stane Žnuderl never slept on the laurels of his first successes, but always tried to add something new and original to the new ones, and the quintet itself was set up in such a way that it was recognisable from afar. The release of each of their new albums was a great event, as was each public performance. On top of that, the Veseli hribovci from Ljubljana were also good-hearted. They donated a sum that was seven times Žnuderl's professor's salary for the construction of their home in Debele Rtič. It means that all the musicians really had a good heart and that their basic mission was not - as in many cases today - just to make sure that they performed as much as possible for the sake of earning money, everything else being of secondary importance.",Opinion/Argumentation,train
219,"Senica faces 10 years in prison for Delamaris <p/> A judicial inquiry has been opened at the Celje District Court in the Delamaris case. In the case, lawyer Mir Senić is accused of having wrongly received a commission of €1.3 million from Vegrad. <p/> Miro Senica, an influential Ljubljana lawyer, is officially under criminal investigation and faces up to ten years in prison. The lawyer is under investigation for alleged abuse of position and money laundering in the notorious Delamaris case, in which he allegedly received €1.3 million from Vegrad, reports today's Dnevnik daily. <p/> ""In this respect, we can only stress that Mr Miro Senica is convinced that all the suspicions against him are groundless and unfounded, which will undoubtedly be revealed when the investigation is completed,"" the law firm of Mr Senica told siol.net. <p/> Senica spent money on a villa in Portorož <p/> The controversial deal allegedly took place in 2007. Vegrad from Velenje bought the Delamaris fish processing plant in Isola for €22 million. The land was to be used for the Urban Renewal Izola project. Vegrad paid a commission of 1.35 million. This ended up in the account of Bužekijan, a company led by Blanka Muster, one of Senica's colleagues. In reality, the money ended up with Senica, who used it to buy a villa in Portorož. This is now owned by his daughter, Marusa Senica. <p/> In addition to Senica, the investigating judge will also question the former First Lady of Vegrad, Hilda Tovšak, the lawyer's daughter, Marusa Senica, as well as his colleagues Blanka Muster and Olga Zaviršek.",News/Reporting,train
221,"Where did the... domestic pasture go... <p/> Who doesn't remember the sweet sixties? A period of optimism, good humour and progress in all fields, every day. I'm thinking from a purely consumerist point of view, post festum of course, because like most of you I wasn't born yet. But with all these revivals and golden memories, I have utopically recalled that time when mass consumption went the other way. <p/> This time the Magdalene is a green square box, clumsily and naively designed for today, but interesting precisely because of this immediacy. The round title has mythological proportions and the black and white symbolic photograph shows nothing of sentimentality but the triumph of technology. However, since the scripture is not intended for design dogmas, I will abbreviate. Titania is the name of the product and it is a handmade macchino per pasta. <p/> My grandmother gave me this metal beast because she knows I like to cook. The seller's internal stamp shows that it was bought on 9 May 1968 in the shop 'La Casalinga' in Gorizia. Although I have never seen either my grandmother or my mother make pasta themselves - with or without a pasta maker - I have made one quite solid pasta from the first one. <p/> The process goes like this. First, the home-made dough is pushed through two rotating rollers, which roll the dough evenly into strips. Repeat the process, if necessary, with a narrower gap between the two rollers, depending on the type of pasta you want. Then pass the strips through the second spout, turn the crank and watch with glowing hearts the culinary miracle - noodles coming out the other side. Ugh, haute cuisine. <p/> Pasta is not exactly Slovenia's national dish and it arrived on the shelves relatively late. As I have gleaned from the web, the Mlinotest pasta factory was built in the late 1950s (proudly made since 1958). Housewives were stretching and drying simple noodles in their backyards long before that, since a product made of flour, eggs and water is a generic phenomenon rather than the alchemist's secret of a lodge of freebooters. <p/> If there is one product from our culinary treasure chest that is anti-potentine, it is the miller. They are made from rolled-out dough that has been baked in a whole piece in a bread oven, usually after baking bread. The baked dough was broken into larger pieces, soaked in water and thickened with whatever gravel was on hand. <p/> Since we don't usually have bread ovens at home, we can fascinate our invited guests with home-made pasta and hum a light Italian canzone as we turn the crank. Or spin a bouquet of evergreen Slovenian songs. Remember, we're in the sixties.",Opinion/Argumentation,train
223,"I suspect that there are at least a handful of us who remember all too well the days when Ray Cokes used to roll the Slayers unreservedly in prime time and when, in the admittedly slightly later hours of the night, MTV Europe used to play a lot of what we still throw into the drawer of alternative and not overly commercial brass bands and brass bands were listened to, not just watched. I wouldn't really debate the diversity of tastes here, but there was a lot to be heard on that channel in its day, especially if you were persisting in a late-night ambush or suffering from insomnia. It would be difficult to judge the current state of mind of all the various derivatives of this brass band institution; I have not been following it for some time, but judging by the words of my younger colleagues, the spirit of the eighties and early nineties has got a bit stuck and has gone on holiday somewhere unknown. <p/> Why such a butch introduction, anyway? Simply because Arrested Development is one of those bands that, without MTV and its inventions like Unplugged, would almost certainly not be known here. This predominantly black collective came to our country in the first half of the nineties on the waves of the aforementioned TV channel with their debut album, etched themselves in our little brains for eternity and then somehow disappeared from our consciousness, so the announcement of CUK in Šiška came as quite a surprise to me. I have to admit, I was almost convinced that AD had disbanded a long time ago, so I was quite happy to see them in Šiška, almost as happy as the fact that last year they released a quite decent and listenable album Strong, which, although it doesn't bring any particular surplus, is a quite pleasant read and the hiphop-funky-Motown inspired melodies easily crawl under your skin, which has been AD's virtue from the very beginning. All in all, a show that would be a sin to miss. <p/> If talking about the fact that the performers wowed the assembled crowd is usually as predictable as possible, I can say exactly that about Arrested Development's performance in Šiška. I haven't seen so many happy and satisfied people per square metre in a long time. Although Šiška wasn't bursting at the seams, it was exactly so full that one could comfortably move around, raise one's hands and sing a little here and there, although it was obvious that the majority of the crowd hadn't come any further than their debut album and, understandably, they were mostly tripping on those good old shtick that had gotten under our skin, or on the musical interludes of the legendary Bob Marley or the slightly less legendary 4 Non Blondes. AD are obviously well aware that their reach in Europe, where they have come after many years, was quite limited and that their brass band alone is just a bit too little to get people up on their feet, but on the other hand, it is a commendable act that the collective did not descend to the level of musical aspirations, although it was just not possible without the most famous shtick, especially in the finale. The intensity of the concert itself was at a high level from the very beginning and it got a bit higher towards the end, also thanks to the drum, bass and karaoke interludes, which, although they cheapened the overall impression a bit for my taste, then in a long encore, perhaps better said in the second part of the concert, they brought the show perfectly to the grand finale, when the brakes were released and the chemistry between the band and the audience worked so well that we can already speak of perfection. <p/> As they like to point out, AD play brass music for the people, by the people, and it would be really hard to find a better demonstration of this principle, especially if we're talking about big concerts, or concerts where at least a hundred or so heads are packed in and there's no question of an intimate atmosphere. There is no doubt that the ADs are well tuned and well tied and know exactly what and how to do to ensure that entertainment, mixed with a good-natured knock on the all-embracing human consciousness, achieves its aim and purpose. Truth be told, AD haven't come up with anything too revolutionary in the last fifteen years, but they make up for it perfectly with the sincerity they put into their music and, apparently, their performances, so it seems they are still that fresh band that exploded in our ears in the early nineties. There wasn't as much of a throwback in their performance as you might expect, more a kind of timelessness caught up in the here and now and a fascination with it, just as the band themselves seemed fascinated by the response they were getting. Look at the photographs and it might be clearer to you what I am trying to say. <p/> In short, the AD concert was simply an uninhibited, relaxed experience of an unpretentious brass band trying to please a wide audience, but not quite everybody and not exactly at any price, which is of course good for the audience, but a little less grateful for the performers themselves, who somehow remain in the shadow of the brass band, which in one way or another, not even necessarily a bad one, stands out and the whole. It's certainly fine and dandy to hear something new and unusual, but even simple entertainment, which nevertheless has a message and is not entirely shallow, is not superfluous and comes in handy now and then. AD are masters at this and it was a real pleasure to listen to them here for the first time, and I hope not for the last time.",Opinion/Argumentation,train
224,"I propose to the Government of Slovenia that, in the event of any illiquidity or insolvency, it should call in a popular loan of EUR 5 billion at 5% interest per annum. The moratorium on payment is 5 years and then payment of principal and interest in 5 annual instalments. <p/> The above-mentioned People's Loan shall be duly presented in the mass media and in all media in the territory of the Republic of Slovenia and citizens shall be called upon to do their utmost to help preserve the financial sovereignty of the country. <p/> All citizens of the Republic of Slovenia and all legal entities with their registered office in the Republic of Slovenia are eligible to contribute. <p/> We know from the past that we have already had similar people's loans (the Skopje earthquake, the Austro-Hungarian road loan, the famous war loans, etc.). <p/> Having said that, I would like to point out that the first way to save the banks is to sell their own assets (redundant offices, business premises, union tourism facilities in spas and by the sea and in the mountains) and to pledge and secure the claims of legal and natural persons (flats, houses, businesses, etc.), and then the state should come to the rescue. It is also necessary to limit the salaries of managers in all state-owned companies and institutions to no more than the salary of the President of the country, the Prime Minister... No one can have more, least of all the quasi-experts. For example, the director of NKBM last year reported an annual income of over 270 000 euros, the bank is in the red, Mr Kramar from Izlak has a 1 million euro bonus for 5 years of management plus salary, and NLB has almost 2 billion bad loans, which it is utopian to believe will ever be repaid. If we are playing such games and delusional thinking, all the measures taken by the government and the savings made by all the employees are meaningless. Or the recently published report by the Court of Auditors that the investment in 2 blocks for 170 prisoners at Dob Prison has risen from EUR 6 million to EUR 87 million. Of course, no one will be held accountable, and we will not show the door to any of the 'experts'. It just happens. As long as we do, we will be in for a dive. Do you remember that the Yugoslav Royal Government fled to London in 1941 with tens of tonnes of the country's gold reserves. Today, of course, I do not mean the government, which is doing its best (a few years too late, unfortunately, because we all dreamt of a success story), but individual entrepreneurs, managers and directors. Where will you go, gentlemen? <p/> When the Austrian lands (of which today's Slovenia was a part) were threatened by the Turkish menace, they took away the bells and the silver and gold mass chalices and ritual utensils from the churches, they burned the mass coats in which the gold and silver threads were knitted, they introduced an anti-Turkish tax. The Tlacian Raj, as well as the local feudal lords, groaned under the weight of the burden imposed on them by the imperial office in Vienna. But we escaped the Turkish threat and the Ottoman yoke, with enormous human and material losses that would be felt for decades and centuries to come. So today, if we come together as we did in 1991, we are able to preserve the financial sovereignty of the R.S.S.R. Look, Greece has received and will receive more than €100 billion in aid (I don't know how it will pay it back, probably never! ). Its richest citizens alone have almost €200 billion invested in foreign banks. No comment is needed here. <p/> For me, the financial sovereignty of our country is not something that I would be prepared to sacrifice for. I am sure that the gentlemen from Brussels will manage our money better than our politicians do. As for the Greeks and their money, they are usually successful businessmen, and they are by no means stupid enough to buy in bulk the bonds of a country that is likely to go bankrupt within a few months. <p/> There are more than enough funds in the accounts of R Slovenia residents to sort things out (at least for now! ) on our own without asking for foreign help. But our citizens also have bank accounts in banks in Austria, Liechtenstein, etc. If everyone contributes as much as they can, the matter is solved. We can also guarantee our citizens the eventual sale of Telekom, Petrol, etc., so that they know that they will get their money back in any case. Bonds could be subscribed for at the counters of banks, post offices, administrative units, etc. This is not quite the same as buying treasury bills and the like. With my proposal, we would be buying our country's financial independence and, therefore, our future. Why have money in a sock or in the bank at 2% interest and know that you have done something good for yourself, your children and the whole country of R Slovenia by paying into the People's Loan. That's how it is. This should be an all-Slovenian action, like the signing of the May Day Declaration or something similar during the Austro-Hungarian period. But as I said, no one in state-owned or majority state-owned companies can have a salary higher than the President of the Republic, the Government, etc. (that's 65 pay grade). If we do not solve this problem too, we will have done nothing. There will always be leeches who will try to suckle at the state teat. I would not discuss the professionalism of these gentlemen, otherwise we would not be where we are, which is nowhere. The way they have run things, they would be any economics graduate who takes up his first job as a trainee. I think that he would have been driven by his profession and the professional challenge, whereas these gentlemen were driven solely by the drive for money. <p/> The Government regularly issues bonds. Any EU citizen or company can open a company here and buy the bonds mentioned in the proposal. So they would be no different from other bonds. This government, which is now ""trying its best"", has only recently blocked the much-needed reforms of the previous government through referendums.... in some cases practically the same laws as it is now proposing. Let's not forget this.... Given the way our politicians view the benefit of the state, in fact, coercive administration by Brussels seems to me to be a better idea by the day. As much damage as our own politicians are doing to us, those in Brussels certainly will not do it.",Opinion/Argumentation,train
227,"Buderus Logatherm WPLS heat pump (air/water) <p/>Buderus Logatherm WPLS heat pumps can keep your home perfectly comfortable all year round. The heat pump uses the outside air as a source of heat energy. The pumps are suitable for both new builds and renovation of existing buildings. <p/> Thanks to its modulating operation, the pump achieves maximum comfort while ensuring you need fewer pump switch-ons, reducing running costs <p/> The small dimensions of the heat pump are the right solution for space constraints as the indoor unit is wall-mounted (dimensions: 500mm x 420mm x 850mm) <p/> compact design ensures lower installation and assembly costs <p/> high-efficiency circulator is integrated <p/> the pump is already pre-filled to max. The pump is max. max. 30m long, so no additional filling between the outdoor and indoor units is required <p/> tested according to European standards as a proof of quality. <p/> WPLS split heat pumps consist of an outdoor unit and an indoor unit. The outdoor unit of the heat pump is installed outside the house and captures the energy of the air through a heat exchanger, transferring it to the cooling medium and feeding the energy to the indoor unit. The wall-mounted indoor unit of the heat pump converts the extracted energy into heat energy for heating your living space and domestic hot water. <p/> The maximum length of the gas connection between the outdoor and indoor units is 30m and the minimum length between the units is 1m. <p/> Overview of the Buderus Logatherm WPLS air/water heat pump system <p/> Indoor unit of the heat pump <p/> Use the energy of the air to heat your living spaces with the WPLS heat pump (in a split connection with the outdoor and indoor units). <p/> Comfort is taken care of both in winter and summer, as you can heat in winter and cool in summer. <p/> The heat pump is a very affordable solution for new buildings as well as adaptations, as it offers the possibility to be installed as a stand-alone unit or as an upgrade to an existing central heating system. <p/>The modulating action of the pump allows you to adapt your heat requirements to your needs. <p/> If you are space-constrained, the compact dimensions of the Buderus Logatherm WPLS make it the right solution. The indoor unit is wall-mountable, dimensions: 500mm x 420mm x 850mm. <p/> The heat pump is available in power ratings: 7kW, 5kW, 10kW and 12kW <p/> Low running costs are guaranteed by the energy-saving and highly efficient components integrated in the heat pump.",Promotion,train
228,"Office Web Apps now with co-authoring support <p/> Microsoft has added support for multiple users to work on the same document simultaneously in Office Web Apps, the web-based version of Office. <p/> Collaborative editing of documents is possible via SkyDrive, and there are two co-authoring modes tailored to different documents and user preferences. <p/> For ad-hoc collaboration and brainstorming sessions, where it's useful to see what others are typing immediately, the OneNote Web App is better suited. For users who are annoyed by instantly seeing what others are typing, the collaboration features in the Word Web App are designed to help. There, changes made to a document by a collaborator are only shown when the collaborator has finished editing. <p/> The co-authoring features work the same in Office Web Apps as they do in Word 2010 and Word for Mac 2011 on the desktop. (aNET)",News/Reporting,train
229,"Event Registration <p/> Learn the pitfalls that can make cancellation illegal! 10 Jun 2014 <p/> ZDS Members <p/> €95.00 <p/> Non-ZDS Members <p/> €170.00 <p/> Includes seminar attendance, materials and refreshments during the break. If two participants attend the seminar, a 10% discount will be granted; if more participants register, the discount is negotiable. Please pay the registration fee before the start of the seminar to transaction account no. 02011-0015672692, reference 00 10062014 _ tax code. Please enclose proof of payment upon registration.",Promotion,train
233,"TV presenter Petra Kerčma r, life partner of Uroš Slaka, is more beautiful than ever. She is aware that she needs to nurture her relationship, otherwise the partners could quickly become estranged. <p/> When a child is born, time for partnership usually starts to run out, but celebrity couple Petra Kerčmar and Uroš Slak don't let time for them run out. That's why they sometimes go out in the evenings with friends or on their own, while a grandmother or a nanny takes care of their baby son. <p/> Petra Kerčmar obviously knows that if you want to keep a man, you have to dedicate yourself to him...",Opinion/Argumentation,train
236,"Annual General Meeting, 19 March 2013 <p/> Traditionally, and in accordance with the law and the provisions of the Statutes of our Association, the General Meeting, as the highest body, adopted the report on the activities, the financial report and the report of the Supervisory Committee for the year 2012. This was the first year of the new term of office of the bodies of the Association and the 22nd year since the founding of the Association. <p/> Of course, we remained true to our mission. Raising awareness among the membership and the general population about the importance of cardiovascular disease prevention has been, is and will continue to be a constant feature of our work. <p/> The reports were adopted unanimously by the branch representatives present. <p/> In short, we can report that we have achieved most of the tasks we set ourselves in our work programme. <p/> We would like to take this opportunity to highlight some of the innovations that have marked the Slovenian prevention scene, in particular the measurement of the ankle-brachial index, the atrial fibrillation prevention programme, for which we have been awarded a global prize since the end of 2011, and the establishment of the 25 × 25 network of NGOs in the field of public health. All three of these innovations have been widely covered by the Slovenian media. We carried out all the well-known preventive measurements and added venous plethysmography, helped several thousand people with various advice, and organised many interesting lectures and workshops. <p/> The magazine For the Heart has been our hallmark for the past year. We are proud of all 7 issues and also at the AGM we thanked the editorial board headed by Prof. Dr. Ales Blinec, MD. <p/> We organised many hikes, excursions and other forms of recreation. If we were to add up all the kilometres walked by our hikers and walkers, we would come up with a big number. <p/> The World Heart Day events started with a march in Novo mesto and continued with events in various places around Slovenia, with the main event taking place at the BTC in Ljubljana. <p/> It is also worth remembering Melodies for the Heart. The Slovenian Octet in the Ljubljana Opera House really proved how a beautiful song has a soothing effect on the heart. <p/> Our branches and the Society as a whole are organising many activities. It is simply not possible to present everything in a short article. <p/> The sources of funds have also changed quite a lot. The share of income from our own activities and the share of funds obtained through calls for tenders have increased, while the share of funds from advertising has decreased. <p/> All in all, 2012 was a successful year for our association, although we made a loss of EUR 2 200, which we will cover from the association's fund. At the same time, the General Assembly clearly recognised that we need to look for new and ever new programmes. Only in this way will the Society be able to successfully fulfil its mission in the future. <p/> At the end of the Assembly, the President of the Heart Association, Matija Cevc, MD, and the Vice-President, Boris Cibic, MD, presented the 2012 awards of the Society. Silvo Gorenc, MD, Tomislav Majič, MD, and Viljem Ščuka, MD, became Honorary Members. Congratulations and thank you for your work.",News/Reporting,train
